Sendername,SenderURL;
Absolute musicXL,https://absolut-musicxl.live-sm.absolutradio.de/absolut-musicxl/stream/mp3;
Absolute Rock,https://absolut-80er.live-sm.absolutradio.de/absolut-rock/stream/mp3;
Absolute 80er,https://absolut-80er.live-sm.absolutradio.de/absolut-80er/stream/mp3;
Absolute Top,https://absolut-top.live-sm.absolutradio.de/absolut-top;
Absolute Relax,https://absolut-relax.live-sm.absolutradio.de/absolut-relax;
NRW1,https://stream.nrw1.de/nrw1/stream/mp3;
80s80s,https://80s80s.hoerradar.de/80s80s-mweb-mp3-hq;
Delta RockPop,http://streams.deltaradio.de/delta-poprock/mp3-192;
Delta Grunge,http://streams.deltaradio.de/delta-grunge/mp3-192;
Delta Alternativ,http://streams.deltaradio.de/delta-alternative/mp3-192;
Delta Indie,http://streams.deltaradio.de/delta-indie/mp3-192;
Delta unplugged,http://streams.deltaradio.de/delta-unplugged/mp3-192;
FluxFM Lounge,http://streams.fluxfm.de/lounge/mp3-320/audio;
Country rm.fm,http://country-high.rautemusik.fm;
Bob Rockabilly,http://streams.radiobob.de/bob-blues/mp3-192/mediaplayer;
Bob AC/DC,http://streams.radiobob.de/bob-acdc/mp3-192/mediaplayer;
Bob Alternativ,http://streams.radiobob.de/bob-alternative/mp3-192/mediaplayer;
Bob Grunge,http://streams.radiobob.de/bob-grunge/mp3-192/mediaplayer;
WDR 2,https://wdr-wdr2-muensterland.icecastssl.wdr.de/wdr/wdr2/muensterland/mp3/128/stream.mp3;
WDR 4,https://wdr-wdr4-live.icecastssl.wdr.de/wdr/wdr4/live/mp3/128/stream.mp3;
WDR 5,https://wdr-wdr5-live.icecastssl.wdr.de/wdr/wdr5/live/mp3/128/stream.mp3;
Deutschlandfunk,https://st01.sslstream.dlf.de/dlf/01/128/mp3/stream.mp3;
